id_tov,Наименование,Вес,Категория,Подкатегория,Состав,Пищевая ценность,Срок годности
23,Молоко ЦЕЛЬНОЕ,1 л ,Молочная Продукция,Молоко,цельное молоко &nbsp;,"белки не менее 3 г, жиры 3,5-4,2 г, углеводы 5 г; от 60 до 70 ккал ",5 суток 
81,"Молоко 3,2%",1 л,Молочная Продукция,Молоко,"молоко цельное, молоко обезжиренное","белки 3 г, жиры 3,2 г, углеводы 4,7 г; 60 ккал ",5 суток
109,"Молоко топлёное, 500 г",500 г ,Молочная Продукция,Молоко,молоко нормализованное по содержанию жира,"белки 3 г, жиры 4 г, углеводы 4,7; 67 ккал",6 суток  
1785,"Молоко 2,5%",450 г ,Молочная Продукция,Молоко,"цельное молоко, обезжиренное молоко ","белки 3 г, жиры 2,5 г, углеводы 4,7 г; 53 ккал ",5 суток 
377,"Молоко 3,2% в бутылке",900 мл ,Молочная Продукция,Молоко,"молоко цельное, молоко обезжиренное","белки 3 г, жиры 3,2 г, углеводы 4,7 г; 60 ккал",5 суток 
437,Молоко цельное в бутылке,900 мл ,Молочная Продукция,Молоко,молоко коровье,"белки 2,8 г, жиры 3,4-4,5 г, углеводы 4,7 г; 61-72 ккал",5 суток 
596,Молоко 1%,450 мл ,Молочная Продукция,Молоко,"молоко обезжиренное, молоко цельное","белки 3 г, жиры 1 г, углеводы 4,7 г; 40 ккал",5 суток
720,Молоко безлактозное,500 г,Молочная Продукция,Молоко,молоко нормализованное,"белки 3 г, жиры от 3,5 до 4,5 г, углеводы от 4,2 до 5,2 г (в том числе лактозы менее 0,01 г); от 60 до 75 ккал",8 суток
395,Масса творожная с изюмом,300 г ,Молочная Продукция,Творог,"творог, сливки высокожирные, сахар-песок, изюм, ванилин","белки 12,8 г, жиры 16,5 г, углеводы 10,5 г; 242 ккал",4 суток 
307,Творог с шоколадной крошкой,125 г ,Молочная Продукция,Творог,"молоко цельное, молоко обезжиренное, наполнитель с шоколадной крошкой (сахар, кусочки молочного шоколада (масло какао, сухое обезжиренное молоко, масло какао, безводный молочный жир, сахар, экстракт ванили); загустители – кукурузный крахмал, гуаровая камедь; регулятор кислотности – лимонная кислота; натуральный ароматизатор «ваниль»), закваска","белки 7 г, жиры 6,7 г, углеводы 10 г, в том числе сахароза 6,5; 128,3 ккал",6 суток
512,Творог Вишня,125 г ,Молочная Продукция,Творог,"молоко цельное, молоко обезжиренное, фруктовый наполнитель «Вишня» (вишня кусочки, сок вишни концентрированный, сахар, загуститель – пектин, натуральный ароматизатор: «Вишня», регулятор кислотности: лимонная кислота, краситель натуральный: концентрат сока черной смородины, вода), закваска молочнокислых культур","белки 7 г, жиры 6 г, углеводы 9 г; 118 ккал",6 суток
818,"Творог мягкий ""Инжир-чернослив""",125 г,Молочная Продукция,Творог,"молоко цельное, молоко обезжиренное, фруктовый наполнитель ""Инжир-чернослив"" (сахар, инжир сушеный, слива сушеная (чернослив), загуститель - пектин, регулятор кислотности - лимонная кислота, краситель натуральный - сахарный колер I простой, ароматизатор натуральный ""Чернослив""), закваска молочнокислых культур","белки 7,3 г, жиры 6,0 г, углеводы 10,5 г в том числе сахароза 7,7 г; 125 ккал",6 суток
826,"Творог мягкий ""Клюква""",125 г ,Молочная Продукция,Творог,"молоко цельное, молоко обезжиренное, наполнитель «Клюква» (сахар, клюква свежемороженая, вода питьевая, загуститель – пектин, регулятор кислотности – сок лимона концентрированный, ароматизатор натуральный «Клюква», краситель натуральный свекольный), закваска молочнокислых культур","белки 7 г, жиры 6 г, углеводы 10 г; 122 ккал ",6 суток 
829,"Творог ""Зёрнышко"" обезжиренный",280 г,Молочная Продукция,Творог,"молоко обезжиренное, закваска","белки 18 г, жиры менее 1,8 г, углеводы 3,3 г; 101 ккал",5 суток 
